,permissions
android.permission.INTERNET,98.7
android.permission.ACCESS_NETWORK_STATE,94.5
android.permission.WAKE_LOCK,70.0
android.permission.WRITE_EXTERNAL_STORAGE,63.3
android.permission.READ_EXTERNAL_STORAGE,41.4
android.permission.ACCESS_WIFI_STATE,40.0
android.permission.VIBRATE,35.8
android.permission.RECEIVE_BOOT_COMPLETED,26.5
android.permission.ACCESS_FINE_LOCATION,26.1
android.permission.ACCESS_COARSE_LOCATION,24.8
android.permission.READ_PHONE_STATE,21.5
android.permission.CAMERA,21.4
android.permission.FOREGROUND_SERVICE,12.1
android.permission.GET_ACCOUNTS,10.1
android.permission.RECORD_AUDIO,9.7
android.permission.BLUETOOTH,8.5
android.permission.SYSTEM_ALERT_WINDOW,7.9
android.permission.CALL_PHONE,6.9
android.permission.READ_CONTACTS,6.3
android.permission.CHANGE_WIFI_STATE,5.8
android.permission.SET_WALLPAPER,5.7
android.permission.BLUETOOTH_ADMIN,5.5
android.permission.WRITE_SETTINGS,5.4
android.permission.MODIFY_AUDIO_SETTINGS,5.3
android.permission.GET_TASKS,4.9
android.permission.USE_FINGERPRINT,4.3
android.permission.READ_CALENDAR,3.0
android.permission.WRITE_CONTACTS,3.0
android.permission.WRITE_CALENDAR,3.0
android.permission.CHANGE_NETWORK_STATE,3.0
com.android.launcher.permission.INSTALL_SHORTCUT,2.6
android.permission.DISABLE_KEYGUARD,2.3
android.permission.SET_WALLPAPER_HINTS,2.1
android.permission.REQUEST_INSTALL_PACKAGES,2.1
com.android.alarm.permission.SET_ALARM,1.7
android.permission.CHANGE_WIFI_MULTICAST_STATE,1.6
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,1.5
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,1.4
android.permission.BROADCAST_STICKY,1.4
android.permission.NFC,1.3
android.permission.KILL_BACKGROUND_PROCESSES,1.3
android.permission.WRITE_SYNC_SETTINGS,1.3
android.permission.READ_LOGS,1.2
android.permission.READ_SYNC_SETTINGS,1.1
android.permission.CHANGE_CONFIGURATION,1.0
com.android.launcher.permission.UNINSTALL_SHORTCUT,1.0
android.permission.USE_BIOMETRIC,0.8
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,0.7
android.permission.PACKAGE_USAGE_STATS,0.7
android.permission.ACCESS_NOTIFICATION_POLICY,0.6
