id;hosts;company
1147293;Google AdMob;AdMob
1147293;Google Play Services;Google
136902;Google CrashLytics;Crashlytics
661349;Adjust;Adjust
661349;Amplitude;Amplitude
661349;Facebook;Facebook
661349;Google CrashLytics;Crashlytics
661349;Google Firebase Analytics;Firebase
661349;Google Play Services;Google
64016;Facebook;Facebook
64016;Flurry;Flurry
64016;Google AdMob;AdMob
64016;Google CrashLytics;Crashlytics
64016;Google Firebase Analytics;Firebase
64016;Google Play Services;Google
64016;Inmobi;InMobi
64016;Twitter MoPub;MoPub
354500;Google AdMob;AdMob
354500;Google Play Services;Google
1216959;AppMetrica;Yandex
637682;Google CrashLytics;Crashlytics
637682;Google Firebase Analytics;Firebase
637682;Google Play Services;Google
1077669;Facebook;Facebook
1077669;Google CrashLytics;Crashlytics
1077669;Google Firebase Analytics;Firebase
1077669;Google Play Services;Google
473857;Google AdMob;AdMob
473857;Google Play Services;Google
1031532;Facebook;Facebook
1031532;Flurry;Flurry
1031532;Google AdMob;AdMob
1031532;Google Analytics;Google Analytics
1031532;Google CrashLytics;Crashlytics
1031532;Google Firebase Analytics;Firebase
1031532;Google Play Services;Google
1031532;Google Tag Manager;Google Tag Manager
1031532;Inmobi;InMobi
1031532;Smaato;Smaato
1031532;Twitter MoPub;MoPub
1327171;Facebook;Facebook
1327171;Google AdMob;AdMob
1327171;Google Firebase Analytics;Firebase
1327171;Google Play Services;Google
1327171;Startapp;StartApp
567062;Google AdMob;AdMob
567062;Google Play Services;Google
612461;Google AdMob;AdMob
612461;Google Firebase Analytics;Firebase
612461;Google Play Services;Google
25142;Facebook;Facebook
25142;Google CrashLytics;Crashlytics
25142;Google Firebase Analytics;Firebase
25142;Google Play Services;Google
462329;Google Play Services;Google
810061;Google Firebase Analytics;Firebase
810061;Google Play Services;Google
810061;Microsoft Visual Studio App Center;App Center
1323028;Google Play Services;Google
25252;Google AdMob;AdMob
25252;Google Firebase Analytics;Firebase
25252;Google Play Services;Google
148010;Facebook;Facebook
148010;Google AdMob;AdMob
148010;Google Play Services;Google
265701;Google AdMob;AdMob
265701;Google Play Services;Google
162492;Google AdMob;AdMob
162492;Google Firebase Analytics;Firebase
162492;Google Play Services;Google
105062;Google AdMob;AdMob
105062;Google Analytics;Google Analytics
105062;Google Play Services;Google
105062;Google Tag Manager;Google Tag Manager
1314490;Google AdMob;AdMob
1314490;Google Firebase Analytics;Firebase
1314490;Google Play Services;Google
228574;Google Firebase Analytics;Firebase
228574;Google Play Services;Google
228574;New Relic;New Relic
1009007;Google CrashLytics;Crashlytics
1009007;Google Firebase Analytics;Firebase
1009007;Google Play Services;Google
727726;Google AdMob;AdMob
727726;Google Firebase Analytics;Firebase
